commentDate, commentCount
2014-01-11,26
2014-01-12,16
2014-01-13,32
2014-01-14,17
2014-01-15,19
2014-01-16,34
2014-01-17,28
2014-01-18,19
2014-01-19,17
2014-01-20,24
2014-01-21,30
2014-01-22,36
2014-01-23,38
2014-01-24,20
2014-01-25,20
2014-01-26,26
2014-01-27,49
2014-01-28,64
2014-01-29,46
2014-01-30,55
2014-01-31,40
2014-02-01,34
2014-02-02,14
2014-02-03,21
2014-02-04,47
2014-02-05,100
2014-02-06,78
2014-02-07,118
2014-02-08,65
2014-02-09,44
2014-02-10,120
2014-02-11,140
2014-02-12,157
2014-02-13,180
2014-02-14,127
2014-02-15,53
2014-02-16,94
2014-02-17,71
2014-02-18,147
2014-02-19,138
2014-02-20,90
2014-02-21,40
2014-02-22,31
2014-02-23,35
2014-02-24,69
2014-02-25,104
2014-02-26,60
2014-02-27,109
2014-02-28,52
2014-03-01,43
2014-03-02,65
2014-03-03,164
2014-03-04,82
2014-03-05,81
2014-03-06,43
2014-03-07,77
2014-03-08,71
2014-03-09,105
2014-03-10,69
2014-03-11,98
2014-03-12,91
2014-03-13,77
2014-03-14,41
2014-03-15,63
2014-03-16,48
2014-03-17,67
2014-03-18,63
2014-03-19,128
2014-03-20,109
2014-03-21,90
2014-03-22,80
2014-03-23,87
2014-03-24,154
2014-03-25,218
2014-03-26,168
2014-03-27,79
2014-03-28,90
2014-03-29,82
2014-03-30,154
2014-03-31,115
2014-04-01,69
2014-04-02,116
2014-04-03,121
2014-04-04,102
2014-04-05,81
2014-04-06,165
2014-04-07,153
2014-04-08,98
2014-04-09,53
2014-04-10,117
2014-04-11,201
2014-04-12,95
2014-04-13,37
2014-04-14,16
2014-04-15,10
2014-04-16,71
2014-04-17,112
2014-04-18,153
2014-04-19,67
2014-04-20,27
2014-04-21,120
2014-04-22,228
2014-04-23,260
2014-04-24,206
2014-04-25,119
2014-04-26,61
2014-04-27,180
2014-04-28,207
2014-04-29,133
2014-04-30,187
2014-05-01,111
2014-05-02,99
2014-05-03,82
2014-05-04,102
2014-05-05,105
2014-05-06,138
2014-05-07,163
2014-05-08,115
2014-05-09,149
2014-05-10,171
2014-05-11,146
2014-05-12,176
2014-05-13,176
2014-05-14,208
2014-05-15,180
2014-05-16,95
2014-05-17,113
2014-05-18,52
2014-05-19,80
2014-05-20,166
2014-05-21,174
2014-05-22,188
2014-05-23,104
2014-05-24,137
2014-05-25,101
2014-05-26,110
2014-05-27,165
2014-05-28,130
2014-05-29,127
2014-05-30,123
2014-05-31,154
2014-06-01,104
2014-06-02,113
2014-06-03,127
2014-06-04,129
2014-06-05,163
2014-06-06,108
2014-06-07,72
2014-06-08,101
2014-06-09,109
2014-06-10,107
2014-06-11,60
2014-06-12,111
2014-06-13,86
2014-06-14,119
2014-06-15,96
2014-06-16,64
2014-06-17,97
2014-06-18,156
2014-06-19,96
2014-06-20,154
2014-06-21,150
2014-06-22,125
2014-06-23,195
2014-06-24,151
2014-06-25,245
2014-06-26,201
2014-06-27,163
2014-06-28,156
2014-06-29,121
2014-06-30,103
2014-07-01,121
2014-07-02,174
2014-07-03,271
2014-07-04,228
2014-07-05,107
2014-07-06,150
2014-07-07,176
2014-07-08,154
2014-07-09,120
2014-07-10,73
2014-07-11,68
2014-07-12,73
2014-07-13,64
2014-07-14,133
2014-07-15,72
2014-07-16,164
2014-07-17,206
2014-07-18,346
2014-07-19,114
2014-07-20,38
2014-07-21,37
2014-07-22,100
2014-07-23,127
2014-07-24,223
2014-07-25,144
2014-07-26,109
2014-07-27,34
2014-07-28,240
2014-07-29,194
2014-07-30,159
2014-07-31,130
2014-08-01,169
2014-08-02,316
2014-08-03,95
2014-08-04,146
2014-08-05,183
2014-08-06,167
2014-08-07,180
2014-08-08,170
2014-08-09,86
2014-08-10,73
2014-08-11,84
2014-08-12,155
2014-08-13,162
2014-08-14,217
2014-08-15,76
2014-08-16,68
2014-08-17,148
2014-08-18,87
2014-08-19,65
2014-08-20,111
2014-08-21,129
2014-08-22,98
2014-08-23,87
2014-08-24,66
2014-08-25,206
2014-08-26,240
2014-08-27,289
2014-08-28,161
2014-08-29,112
2014-08-30,93
2014-08-31,93
2014-09-01,123
2014-09-02,77
2014-09-03,158
2014-09-04,160
2014-09-05,111
2014-09-06,74
2014-09-07,114
2014-09-08,136
2014-09-09,140
2014-09-10,135
2014-09-11,135
2014-09-12,186
2014-09-13,90
2014-09-14,43
2014-09-15,139
2014-09-16,236
2014-09-17,140
2014-09-18,75
2014-09-19,51
2014-09-20,131
2014-09-21,101
2014-09-22,267
2014-09-23,212
2014-09-24,318
2014-09-25,416
2014-09-26,261
2014-09-27,104
2014-09-28,80
2014-09-29,112
2014-09-30,128
2014-10-01,79
2014-10-02,88
2014-10-03,53
2014-10-04,31
2014-10-05,22
2014-10-06,36
2014-10-07,62
2014-10-08,32
2014-10-09,44
2014-10-10,49
2014-10-11,35
2014-10-12,20
2014-10-13,40
2014-10-14,60
2014-10-15,58
2014-10-16,87
2014-10-17,51
2014-10-18,32
2014-10-19,39
2014-10-20,78
2014-10-21,74
2014-10-22,71
2014-10-23,90
2014-10-24,99
2014-10-25,78
2014-10-26,54
2014-10-27,55
2014-10-28,104
2014-10-29,157
2014-10-30,96
2014-10-31,103
2014-11-01,58
2014-11-02,57
2014-11-03,76
2014-11-04,121
2014-11-05,180
2014-11-06,146
2014-11-07,202
2014-11-08,204
2014-11-09,89
2014-11-10,140
2014-11-11,140
2014-11-12,255
2014-11-13,291
2014-11-14,164
2014-11-15,139
2014-11-16,129
2014-11-17,162
2014-11-18,290
2014-11-19,188
2014-11-20,167
2014-11-21,417
2014-11-22,157
2014-11-23,104
2014-11-24,200
2014-11-25,302
2014-11-26,195
2014-11-27,84
2014-11-28,167
2014-11-29,73
2014-11-30,151
2014-12-01,231
2014-12-02,190
2014-12-03,199
2014-12-04,145
2014-12-05,86
2014-12-06,80
2014-12-07,65
2014-12-08,184
2014-12-09,188
2014-12-10,239
2014-12-11,110
2014-12-12,118
2014-12-13,56
2014-12-14,59
2014-12-15,166
2014-12-16,97
2014-12-17,32
2014-12-18,52
2014-12-19,56
2014-12-20,44
2014-12-21,42
2014-12-22,55
2014-12-23,47
2014-12-24,43
2014-12-25,25
2014-12-26,18
2014-12-27,48
2014-12-28,17
2014-12-29,49
2014-12-30,33
2014-12-31,31
2015-01-01,15
2015-01-02,18
2015-01-03,18
2015-01-04,7
2015-01-05,31
2015-01-06,15
2015-01-07,31
2015-01-08,17
2015-01-09,176
2015-01-10,22
2015-01-11,18
2015-01-12,39
2015-01-13,26
2015-01-14,23
2015-01-15,33
2015-01-16,35
2015-01-17,29
2015-01-18,30
2015-01-19,33
2015-01-20,40
2015-01-21,61
2015-01-22,49
2015-01-23,48
2015-01-24,48
2015-01-25,36
2015-01-26,80
2015-01-27,73
2015-01-28,56
2015-01-29,64
2015-01-30,49
2015-01-31,27
2015-02-01,26
2015-02-02,58
2015-02-03,43
2015-02-04,17
2015-02-05,24
2015-02-06,52
2015-02-07,29
2015-02-08,18
2015-02-09,61
2015-02-10,48
2015-02-11,80
2015-02-12,44
2015-02-13,34
2015-02-14,26
2015-02-15,14
2015-02-16,55
2015-02-17,74
2015-02-18,48
2015-02-19,57
2015-02-20,48
2015-02-21,32
2015-02-22,18
2015-02-23,47
2015-02-24,41
2015-02-25,88
2015-02-26,69
2015-02-27,84
2015-02-28,57
2015-03-01,31
2015-03-02,57
2015-03-03,59
2015-03-04,68
2015-03-05,51
2015-03-06,72
2015-03-07,31
2015-03-08,20
2015-03-09,82
2015-03-10,62
2015-03-11,64
2015-03-12,64
2015-03-13,57
2015-03-14,41
2015-03-15,28
2015-03-16,45
2015-03-17,80
2015-03-18,90
2015-03-19,131
2015-03-20,109
2015-03-21,60
2015-03-22,52
2015-03-23,63
2015-03-24,42
2015-03-25,53
2015-03-26,73
2015-03-27,55
2015-03-28,28
2015-03-29,33
2015-03-30,49
2015-03-31,33
2015-04-01,84
2015-04-02,115
2015-04-03,45
2015-04-04,38
2015-04-05,40
2015-04-06,71
2015-04-07,45
2015-04-08,131
2015-04-09,78
2015-04-10,66
2015-04-11,59
2015-04-12,37
2015-04-13,43
2015-04-14,30
2015-04-15,36
2015-04-16,47
2015-04-17,54
2015-04-18,38
2015-04-19,21
2015-04-20,59
2015-04-21,74
2015-04-22,114
2015-04-23,114
2015-04-24,83
2015-04-25,67
2015-04-26,39
2015-04-27,88
2015-04-28,110
2015-04-29,42
2015-04-30,82
2015-05-01,40
2015-05-02,45
2015-05-03,17
2015-05-04,28
2015-05-05,82
2015-05-06,56
2015-05-07,61
2015-05-08,80
2015-05-09,21
2015-05-10,29
2015-05-11,61
2015-05-12,59
2015-05-13,65
2015-05-14,32
2015-05-15,40
2015-05-16,31
2015-05-17,35
2015-05-18,75
2015-05-19,66
2015-05-20,95
2015-05-21,73
2015-05-22,69
2015-05-23,80
2015-05-24,118
2015-05-25,129
2015-05-26,100
2015-05-27,123
2015-05-28,118
2015-05-29,79
2015-05-30,49
2015-05-31,46
2015-06-01,55
2015-06-02,71
2015-06-03,56
2015-06-04,40
2015-06-05,79
2015-06-06,53
2015-06-07,53
2015-06-08,66
2015-06-09,64
2015-06-10,61
2015-06-11,79
2015-06-12,84
2015-06-13,41
2015-06-14,42
2015-06-15,80
2015-06-16,74
2015-06-17,136
2015-06-18,108
2015-06-19,61
2015-06-20,36
2015-06-21,24
2015-06-22,98
2015-06-23,96
2015-06-24,136
2015-06-25,128
2015-06-26,122
2015-06-27,81
2015-06-28,54
2015-06-29,53
2015-06-30,116
2015-07-01,129
2015-07-02,82
2015-07-03,89
2015-07-04,53
2015-07-05,42
2015-07-06,90
2015-07-07,56
2015-07-08,101
2015-07-09,92
2015-07-10,158
2015-07-11,78
2015-07-12,109
2015-07-13,190
2015-07-14,178
2015-07-15,78
2015-07-16,138
2015-07-17,66
2015-07-18,36
2015-07-19,26
2015-07-20,34
2015-07-21,37
2015-07-22,39
2015-07-23,45
2015-07-24,43
2015-07-25,65
2015-07-26,62
2015-07-27,41
2015-07-28,52
2015-07-29,32
2015-07-30,50
2015-07-31,26
2015-08-01,19
2015-08-02,48
2015-08-03,183
2015-08-04,195
2015-08-05,102
2015-08-06,53
2015-08-07,89
2015-08-08,54
2015-08-09,57
2015-08-10,64
2015-08-11,80
2015-08-12,64
2015-08-13,76
2015-08-14,35
2015-08-15,35
2015-08-16,32
2015-08-17,48
2015-08-18,20
2015-08-19,21
2015-08-20,51
2015-08-21,44
2015-08-22,39
2015-08-23,25
2015-08-24,73
2015-08-25,41
2015-08-26,58
2015-08-27,78
2015-08-28,68
2015-08-29,60
2015-08-30,33
2015-08-31,35
2015-09-01,71
2015-09-02,150
2015-09-03,104
2015-09-04,46
2015-09-05,55
2015-09-06,53
2015-09-07,80
2015-09-08,120
2015-09-09,109
2015-09-10,73
2015-09-11,44
2015-09-12,72
2015-09-13,75
2015-09-14,195
2015-09-15,177
2015-09-16,154
2015-09-17,80
2015-09-18,80
2015-09-19,37
2015-09-20,49
2015-09-21,64
2015-09-22,69
2015-09-23,58
2015-09-24,73
2015-09-25,52
2015-09-26,53
2015-09-27,50
2015-09-28,64
2015-09-29,78
2015-09-30,77
2015-10-01,93
2015-10-02,96
2015-10-03,55
2015-10-04,46
2015-10-05,70
2015-10-06,82
2015-10-07,159
2015-10-08,126
2015-10-09,90
2015-10-10,53
2015-10-11,47
2015-10-12,82
2015-10-13,150
2015-10-14,130
2015-10-15,115
2015-10-16,124
2015-10-17,65
2015-10-18,43
2015-10-19,104
2015-10-20,158
2015-10-21,138
2015-10-22,106
2015-10-23,142
2015-10-24,52
2015-10-25,81
2015-10-26,113
2015-10-27,126
2015-10-28,182
2015-10-29,142
2015-10-30,97
2015-10-31,76
2015-11-01,66
2015-11-02,96
2015-11-03,65
2015-11-04,73
2015-11-05,68
2015-11-06,87
2015-11-07,37
2015-11-08,30
